,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Cephe,Depozito,Yakıt Tipi,Yetkili Ofis,Rent,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas,Kira Getirisi
1271,Ankara,Çankaya,İlkbahar,43014-2620,02-04-2023,6 + 2,800 m2,,15 Yaşında,Merkezi,3 Katlı,Eşyalı Değil,3,Betonarme,,Boş,,,,Doğalgaz,Evet,72.000 TL,,,,,
1272,Ankara,Mamak,Cengizhan,135384-71,10-04-2023,3 + 1,110 m2,2. Kat,22 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,"Güney, Doğu, Batı",6.500 TL,Doğalgaz,Evet,6.000 TL,,,,,
1273,Ankara,Çankaya,Kırkkonaklar,136254-33,02-04-2023,3 + 1,160 m2,1. Kat,22 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,200 TL,Güney,20.000 TL,Doğalgaz,Evet,13.000 TL,,,,,
1274,Ankara,Çankaya,Seyranbağları,10580-5673,07-04-2023,1 + 1,75 m2,Kot 1,15 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,80 TL,,,,Evet,7.000 TL,,,,,
1275,Ankara,Çankaya,Yaşamkent,7524-5167,05-04-2023,3 + 1,180 m2,Ara Kat,18 Yaşında,Merkezi,11 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,,,14.000 TL,Doğalgaz,Evet,14.000 TL,,,,,
1276,Ankara,Çankaya,Emek,87775-334,23-03-2023,3 + 1,110 m2,1. Kat,55 Yaşında,Kombi,3 Katlı,Eşyalı,2,,İkinci El,Kiracılı,50 TL,"Güney, Doğu",17.000 TL,Doğalgaz,Evet,12.500 TL,,,,,
1277,Ankara,Etimesgut,Yukarıyurtçu,3044-3982,10-04-2023,2 + 1,94 m2,Giriş Katı,5 Yaşında,Merkezi (Pay Ölçer),4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,840 TL,Batı,5.800 TL,Doğalgaz,Evet,5.800 TL,Odtü Konutları,,,,
1278,Ankara,Çankaya,Aziziye,96373-1224,22-03-2023,3 + 1,250 m2,21 ve üzeri,5 Yaşında,Merkezi (Pay Ölçer),30 Katlı,Eşyalı,2,,,Boş,4.7 TL,"Güney, Doğu, Batı",,,,45.000 TL,Portakal Çiçeği Residence,Uygun değil,,,
1279,Ankara,Etimesgut,Tunahan,8316-3726,08-04-2023,3 + 1,95 m2,5. Kat,23 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,322 TL,"Kuzey, Doğu",10.000 TL,Doğalgaz,Evet,9.000 TL,,,,,
1280,Ankara,Keçiören,Atapark,82400-449,11-04-2023,3 + 1,160 m2,3. Kat,12 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,75 TL,"Güney, Batı",11.500 TL,Doğalgaz,,11.500 TL,,,,,
1281,Ankara,Çankaya,Ön Cebeci,64418-453,10-04-2023,3 + 1,120 m2,4. Kat,18 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,1.100 TL,"Güney, Batı",9.000 TL,Doğalgaz,Evet,8.300 TL,,,,,
1282,Ankara,Çankaya,Beytepe,131606-64,04-04-2023,4 + 1,165 m2,3. Kat,7 Yaşında,Merkezi (Pay Ölçer),10 Katlı,,2,,İkinci El,Boş,500 TL,"Kuzey, Doğu",30.000 TL,Doğalgaz,Evet,15.000 TL,,,,,
1283,Ankara,Çankaya,Birlik,13344-1179,10-04-2023,3 + 1,160 m2,Yüksek Giriş,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,150 TL,"Güney, Doğu, Batı",,Doğalgaz,Evet,13.500 TL,,,,,
1284,Ankara,Çankaya,İlkbahar,63728-2886,11-04-2023,2 + 1,103 m2,6. Kat,2 Yaşında,Merkezi (Pay Ölçer),20 Katlı,Eşyalı,2,,,Boş,,Doğu,,,,22.000 TL,,,,,
