,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Site İçerisinde,Kira Getirisi,Yakıt Tipi,Rent,Yetkili Ofis,Kapalı Alan M2,Açık Alan M2,Bina Sayısı,Depozito
5512,Ankara,Çankaya,Aydınlar,1181-13599,13-04-2023,3 + 1,130 m2,1. Kat,18 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Hayır,"Kuzey, Güney, Batı",,12.500 TL,Doğalgaz,2.795.000 TL,Evet,,,,
5513,Ankara,Pursaklar,Ayyıldız,4480-23349,12-04-2023,3 + 1,160 m2,7. Kat,9 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,,,,Doğalgaz,2.250.000 TL,,,,,
5514,Ankara,Sincan,Plevne,120171-1085,12-04-2023,3 + 1,120 m2,Ara Kat,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,"Güney, Doğu, Batı",,,Doğalgaz,949.000 TL,Evet,,,,
5515,Ankara,Sincan,Plevne,120171-1085,12-04-2023,3 + 1,120 m2,Ara Kat,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,"Güney, Doğu, Batı",,,Doğalgaz,949.000 TL,Evet,,,,
5516,Ankara,Çankaya,Naci Çakır,16761-31282,13-04-2023,3 + 1,120 m2,3. Kat,22 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,50 TL,Hayır,"Güney, Doğu, Batı",,6.000 TL,Doğalgaz,1.779.000 TL,Evet,,,,
5517,Ankara,Mamak,General Zeki Doğan,136254-43,28-03-2023,4 + 1,200 m2,6. Kat,16 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,3,,,Mülk Sahibi,Kat Mülkiyeti,50 TL,Evet,"Güney, Doğu",,,,2.150.000 TL,,,,,
5518,Ankara,Sincan,Andiçen,136047-92,21-03-2023,3 + 1,125 m2,2. Kat,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Güney, Doğu, Batı",,,Doğalgaz,1.389.000 TL,Evet,,,,
5519,Ankara,Mamak,Ekin,115850-649,15-03-2023,3 + 1,140 m2,Ara Kat,4 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,40 TL,Hayır,Güney,,,Doğalgaz,1.290.000 TL,Evet,,,,
5520,Ankara,Keçiören,Hisar,135416-63,13-03-2023,4 + 1,160 m2,1. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,130 TL,Evet,"Güney, Doğu, Batı",,6.000 TL,Doğalgaz,2.099.000 TL,Evet,,,,
5521,Ankara,Keçiören,Etlik,123826-651,27-03-2023,3 + 1,140 m2,2. Kat,10 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,100 TL,Hayır,"Güney, Doğu",,10.000 TL,Doğalgaz,1.569.000 TL,Evet,,,,
